drugName,condition,review,rating
Migranal,Migraine,"Migranal Nasal Spray seems to have helped the migraine (within the 24 hours, not quickly). However, the muscle pain was tremendous for 48 hours following taking the 1st & 2nd doses. I changed from Triptans because of the muscle pain, but the pain with the Migranal is worse. I will try it one more time, but if the after effect (excruciating muscle pain, especially in my legs and feet) are as bad as my first experience, I will stop.",6
Hydroxychloroquine,Rheumatoid Arthritis,"Tried Methotrexate twice and both times it caused Chronic Ulcerative Colitis so my consultant put me on Hydoxychloroquine. Started on 2 tablets a day but after 3 weeks I cut it down to 1 as it was upsetting my stomach. It halved my inflamation in about 5 weeks! BUT! After taking it for 3 months I began to get very constipated and after 4 months I had blood when I passed a stool so I stopped taking it, as I thought my UC was coming back. Now 6 weeks later I am suffering with chronic indigestion and have to drink several sachets of Macrogol per day to be able to go to the toilet. My doctor's not given me any indication as to how long this will last or if my stomach's been permanently damaged so I am going to make an appointment to find out!",3
Dapsone,Acne,Have been using Aczone for 3 days..after struggling with acne all over my jaw line it is working great. I am also using Differin at night and a very strong prescription vitamin also- which I like the idea of since it is not an antibiotic and it is natural. Never give up. There is always an alternate method.,9
Quasense,Birth Control,My doctor suggested this since it is a 91 day cycle which would help with other health issues. I've been spotting for months now and have had frequent nausea and cramps. I'm changing to Ovcon 35 and hoping that will be better.,6
Diovan HCT,High Blood Pressure,After trying several high blood pressure medicines this has worked wonderfully to reduce the blood pressure and eliminate excess fluid and sodium. I take one pill 325/12.5 mg in the morning and have added Bystolic 10mg (another great medicine for HBP and Mitral Valve Prolapse) at night.,9
Jentadueto,"Diabetes, Type 2",I have had great success in lowering my blood glucose levels using Jentadueto and Invokana together. I have experienced no serious side effects and would recommend that all Type II diabetics speak to their doctors about these wonderful medications.,10
Habitrol,Smoking Cessation,I received Habitrol 21mg free from NYQUITS. Started it on Feb. 1st. for 14 days. Worked GREAT for me. I then purchased Nicoderm after that and got such SEVERE rashes on my arms that I had to go to my doctor to get medications. He said it was probably the glue from the patch. Now back on Habitrol. This stuff is the BEST.,8
Loratadine,Allergic Rhinitis,"I took 1 tab a day for 2 weeks. Blood pressure was somewhat low for me and I take blood pressure medicines.I did have very dry eyes, so my contacts were giving me problems. I stopped tabs and about third day my eyes are not near as dry. Other than drying of the eyes tablets seem to work for my allergy.",3
Natazia,Birth Control,I was taking Natazia for about a year 1/2 or more. It wasn't until recently that my doctor's office stopped carrying this as a free sample. I was put on a different form of birth control that my insurance covers. I have been on this for a month and I noticed fairly noticeable slight differences in the two. I almost never had periods on Natazia which I thought must be a bad thing. I also never had PMS on Natazia which was fortunate. Now on this new birth control I feel like I am 18 again emotion-wise. My period was actually a NORMAL period like I used to get when I was never even on birth control. I never even used tampons on Natazia because it was so light. I had to go buy tampons for the first time in 6 months or more due to discontinuing Natazia.,9
Doxycycline,Acne,"I have been using Doryx for a month with the Acanya acne gel and it helped so much I have not had any new pimples (well maybe 1 or 2) since then. It's amazing. I'm 16 years old and my dermatologist first recommended Solydyn, it did not help at all. I'm so glad Doryx is working and it's apparently supposed to get better. The only thing is the pills are really big but other than that, awesome.",9
Dexlansoprazole,GERD,"My Dr. prescribed this after 80mg of Nexium stopped working but after a week of Dexilant, I'm stopping it because of the awful flatulence and abdominal pain starting about 12 hrs after taking it. So glad to get validation here that others have had similar problems since the patient info says this only happens for a small amount of users.",4
Tranylcypromine,Depression,"I'm 62 and have suffered from depression ever since I can remember,and through the years have only had moderate success with all the other medicines. This one is horrible after only two days I was off the wall, breaking things, screaming and other nasty responses. There is nothing like feeling hopeless again.",1
Levomilnacipran,Depression,"Switched from Zoloft, after the initial first week and withdraws from the zoloft, I noticed that my irritability never went away and seemed to get worse. I was yelling at my kids 3 days straight and realized this just isn't me. It's treated my depression but the irritability and agitation along with the other effects just are not worth it. Have a hard time sleeping due to the dreams that I have that only started once I started taking it. Hallucinations started as well. It seems some days I have a hard time with what's real and what's not only when just relaxing my mind seems to jump all over. Will be switching ASAP this drug isn't for me. I would rather have the weight gain from the zoloft. Expensive even with insurance.",5
Tussionex Pennkinetic,Cough,"This reduced my flu and pneumonia symptoms tremendously. I was having severe head and body aches along with a horrible cough, and it relieved the pain so I could rest.",9
Adapalene / benzoyl peroxide,Acne,"I've suffered from acne for 8 years now and went through all sorts of phases. Now I'm 20 yrs old and it's all down on the chin area with deep, painful cysts everywhere. Unfortunately Epiduo (or any topical cream actually) is not good for that kind of stuff. If you're a teenager, this may yield more likely results. I had an extremely oily face as a teen so I didn't even experience the red/dry/flaky skin that most do. Sadly it stopped being effective about 6 months in so eventually I quit. Recently I've tried it again but now it gives me persistent painful red/dry/flaky skin and not much positive results. It may be better for other people.",6
Tessalon,Cough,"After being unable to sleep for more than 15 minutes at a time for three nights in a row even with my head elevated on several pillows, the doctor gave me this. My nonstop dry cough stopped for up to 5 hours, and then it came back, but less severe. It doesn't last 8 hours, but it allowed me to get some much needed sleep. Sucking sugar free cherry Luden's cough drop, and/or swallowing a teaspoon of honey without water help also. Also take Mucinex to thin secretions.",9
Viagra,Erectile Dysfunction,"I have tried both Viagra and Cialis. Both have their pro's and con's. I get a better and more constant erection with Viagra. But it took over an hour to start working. The 10mg dose lasted about 4 hours but there was some residual effects afterwards. Cialis started working after about 30 mins and it really carries on for a good 24-36hrs, but the quality of the erection wasn't as good. I suffered with the snuffles with both. I got a headache only with Viagra but it wasn't a bad one though.",9
Larin Fe 1 / 20,Birth Control,I hate this pill. I've been on different pills before and I have never felt like this. I'm throwing up all the time. My appetite has increased heavily. My acne has never ever been this bad. I'm tired all the time and I just feel like shit since taking it. I've been on it for three month now and every new pack is just a horror story. I get a very very light period which really pisses me off. I get it for one day. I hate that I'm the type of person who freaks out if that happens. It makes me so uncomfortable and nervous to basically not get a period. My OB won't change the pill and I'm so fed up with it. I have no motivation at all. I never felt this was before taking this pill. I hate it.,1
Aviane,Birth Control,"I always used Yasmin but from my home-country and actually lost weight for almost 2 years. Once I got in the U.S last October I had to switch pills to the Yazmin from here and the pharmacy actually gave me the generic brand, Ocella. Awful for me. Switched to the actual Yasmin but same thing, I gained around 40 pounds in less than 6 months and even stopped at the ER because of Ocella. Aviane was prescribed last month and its the best pill I took since I arrived here. Pretty much back to normal except for the extra pounds that its been easier to lose now, way less hormones than the other pills. I love it! Oh and sex drive increased 100%.",9
Fiorinal,Migraine,"I've had migraines for 40 years. This works 9 out of 10 times, usually in about 20 minutes. Occasionally I've had to take a second pill or dose, but 1 pill almost always does the trick. The other 10 % of the times I use Maxalt or its generic form. My insurance has recently dropped coverage for this inexpensive, very effective drug. I'm not happy and plan to appeal for coverage.",9
Metronidazole,Bacterial Infection,"Makes me feel unwell, put on this after wisdom tooth extraction, feel sleepy and giddy all the time, not right at all. Also feel faint and can't think right either. Just feel like crap along with painful jaw from extraction. Told to take double dose for a week to stop dry socket from becoming infected.",3
Bisoprolol / hydrochlorothiazide,High Blood Pressure,"Took one dose of Ziac, for first time, felt tenderness, tightness, and pressure in right chest area, short of breath, became weak, left arm became numb, felt like pins and needles were sticking me, ended up at emergency room with chest pains, but blood pressure was lowered, felt very fatigued, still feel extremely tired. Moving extremely slow.",1
Adalimumab,Rheumatoid Arthritis,"I've had RA for 16yr (I'm 49yr)....I'm currently on Methotrexate (5 pills wkly) and Humira. In the past 10mo I've had shingles twice so I had to go off of it so that I could get the shingles vaccine. I definately missed taking it and have suffered a bit. I just started back up and am looking forward to it kicking in! It works wonders for me....**altho I will say that whenever I travel south (TN), I forget I even have arthritis....climate matters...",9
Hyoscyamine,Irritable Bowel Syndrome,I have had irritable bowel for years and it has gotten so much worse since having on and off c diff since 2014. This drug helps a lot with stomach pain and even helps my gerd a bit. Causes major dry mouth and drowsiness but worth it!,10
Zarah,Birth Control,"I took Zarah for 3 years, never missed a pill and always took it right at 3pm every day. So it worked great. No weight gain. No painful cramps. A light flow during period week. But I rated this 5/10 because I did end up getting pregnant 3 1/2 years after I started taking Zarah. I didn’t take any medications around the time I conceived besides my BC Zarah. My doctor was shocked when my blood test came back positive. So beware, even the best birth control pills can fail and result in pregnancy. I will say though, it was the best thing that’s ever happened to me. I have a beautiful 1 year old to prove it.",4
Voltaren,Osteoarthritis,"I am 46, female, with osteoarthritis in one knee - had an arthroscopy last year that seemed to just make things worse. I have tried the Synvisc injections %u2013 no help. It was getting to the point where I was sitting most of the day to avoid the pain and stiffness. Even swimming was painful. I would have to take at least 800mg of Motrin to feel the tiniest bit of relief. Tried Oxycodone and Vicodin %u2013 nothing except sleepiness. Started taking Voltaren a few days ago %u2013 the generic diclofenac %u2013 50 mg 2x a day. Wow %u2013 I am so surprised how well this is working! I am moving around with little pain and only a small amount of stiffness now. No side effects so far. I am so grateful my doctor suggested this %u2013 I am happier now!",10
Maxalt-MLT,Migraine,"I am very greatful for Maxalt wafers as they help me get rid of my migraines, although the side effects of insane burning and jaw pain last and hour before, the wafer curing my migraine. Half half if you can endure the pain, its wonderful",7
Ambien CR,Insomnia,"This is my second night of taking Ambien CR 10 Mg. Last night, I fell asleep and woke up with the pictures hanging on the wall on top of me. I'm not sure what happened there, but hopefully everything will be better! I have my fingers crossed!",8
Gildess Fe 1 / 20,Acne,"I'm 34 yrs old I've been on this pill for a little over 4 mo. I've never had really bad acne my entire life just the occasional zits here and there. I guess you could say I was lucky. When I started this pill I completely broke out on my forehead and still have tiny little pimples that will not go away. I also didn't realize it until now but, I've also had mood swings. I literally cry at the drop of a dime. Lastly, I also never really gained weight while I was on birth control again I guess I was lucky but, I've definitely put on some LB's. The ONLY thing that I like is my breasts are big and perky....",2
TriNessa,Acne,"I have been using Trinessa for 2 months and I love it. My acne has gotten considerably clearer and I have seen my acne scars begin to fade. Finally, my periods aren't unbearable, and it's on time. I'm very happy with Trinessa.",9
Vraylar,Bipolar Disorde,"My daughter has been taking Vraylar for 3 weeks after trying MANY other meds for bp depression. The others had made no difference in her sadness, only side effects. 3 days after starting vraylar she is a new person. Happy, sleeping well. She has not needed Xanax since vraylar. Went from crying everyday to doing schoolwork, activities with friends. Only negative is the outrageous cost. Working on that as it is not at all affordable.",8
Armodafinil,ibromyalgia,"It was way better than nothing at all, but it did nothing at all for my pain. This helped my fatigue enough that I could be mostly functional, but it was like a low level of energy stretched out through the day, and I still ended up not having enough energy to do a lot of the things I want to do. Ritalin worked 10x better at helping my fatigue than Nuvigil did.",6
Chlordiazepoxide,Anxiety,"I've tried several medications for moderate anxiety and panic attacks. Librium has worked the most reliably. Xanax and Ativan work quickly but are too short acting. Klonopin didn't do much for me. Librium starts to take effect within about a half hour, makes me calm (not high) and keeps me calm for hours.",10
Diazepam,Anxiety,"I have tried everything for my anxiety and depression including Klonopin, Xanax, Ativan. I did think Ativan did work for me but never did get it permanently but Valium has been pretty good with me so far.",9
Buprenorphine,Pain,"Very effective for pain relief. For me the itching and long lasting (up to a month after use) red squares in all areas where the patch has been applied are serious setbacks. Several solutions have been suggested but none of them have helped. Because of the itching and the efforts to reduce it, the patches tend to fall off. It seems I scratch the area at night and dislodge the patch. Any abnormal stress in my life tends to aggravate these side effects. But as stated they work for pain relief.",7
Microgestin Fe 1.5 / 30,Birth Control,"I got put on Microgestin 1.5/30 to help minimize painful ovarian cysts that I have been experiencing. I usually hate birth control pills because I always experience miserable side effects. Microgestin minimized my ovarian cysts and I'm no longer in pain. The one and only side Effect I had was a yeast infection, but it could have just been a coincidence. I get slightly queezy but it goes away quickly I have not experienced moodiness, my face is super clear, no break through bleeding, and no loss in sex drive or a dry vagina. Usually birth control pills give me all of the negative side effects. I am 31 and have been on this pill for 2months. So far I give it a wonderful rating compared to other birth control pills I have tried.",9
Neurontin,Insomnia,"After trying every type of insomnia medicine, this is the only medication that has worked for me. I don't notice any side effects. It isn't perfect. I still have sleepless nights sometimes; but those are nothing compared to the insomnia I was dealing with before.",9
Polyethylene glycol 3350,Bowel Preparation,"This helps but after you take it and poop, etc. You may loose control of your bowels if you laugh or anything like that it will make you poop without wanting to.",5
Astelin,Allergic Rhinitis,"Ive been using Astelin almost daily for almost 10 years. 2 x each nostril, morning and night. No concern if I miss a day. It is the best! I've been taking antihistamines over 50 years. I will stick with Astelin as long as I can. I usually irrigate my nostrils first by rinsing it with water from my palm in the shower. Then Astelin goes straight into the clean nasal tissue and goes to work.",10
Opana,Pain,"I have Lupus, arthritis and had most of my back crushed in a auto accident. Opana is the ONLY pain medication that has relieved a majority of my pain throughout the day. I take 40mg every 8 hours and I am able to walk around and do things I couldn't do before when I was on the patches and all the other drugs I tried. Opana is the best long term medication that keeps working without fail for me.",9
Lidoderm,Pain,"The MYLAN brand 5% is useless! Waste of money. It does not stick to fresh cleaned skin with rubbing alcohol first, it does not stay on to provide medicine even if taped on outside edges and it's plastic! Bad for skin. I'm going to change pharmacies to avoid using this,brand again or cough up cash for my reg. Brand. I would not depend on this. Seriously it does not stick for 2 mins.",1
Xanax,Anxiety,Love it. It made me really relaxed/calm and still able to do my work.,10
