ticket_id,channel,plan,region,ticket_text,priority,zs_guess,zs_confidence,category
CB-6702,chat,Free,APAC,can i see the history of a metric definition?,urgent,integrations,0.462,how_to
CB-6470,email,Free,North America,Quick one: Empty values are being stored as the string null.,urgent,bug_ui,0.3567,data_sync
CB-6163,email,Team,APAC,Second time asking about this. Our spend has doubled and we cannot see what drove it. Fairly low priority. Please advise.,high,billing_plan,0.84,billing_plan
CB-6613,in-app,Enterprise,EMEA,"Hello, We want a sandbox environment to test changes safely. Not blocking but annoying.",urgent,how_to,0.5946,feature_request
CB-7047,in-app,Team,LATAM,The Salesforce connector disconnects every few hours. It worked fine last week.,normal,integrations,0.5381,integrations
CB-6540,chat,Business,North America,Not sure if this is the right place but We need an approval step before a dashboard is shared externally. This is urgent.,normal,how_to,0.2941,feature_request
CB-7035,in-app,Free,LATAM,Our Slack notifications stopped arriving.,normal,integrations,0.5218,integrations
CB-6960,phone,Team,LATAM,Hey The Zendesk sync only works one way.,high,bug_ui,0.6487,integrations
CB-6639,email,Team,APAC,Following up: Can you support single sign-on for our smaller subsidiary too?,urgent,login_access,0.7006,feature_request
CB-6947,email,Enterprise,EMEA,Reporting on behalf of my team: Our Okta app assignment does not propagate to your side.,normal,bug_ui,0.6355,integrations
CB-6889,email,Enterprise,EMEA,not sure if this is the right place but the google sheets export stops at five thousand rows,urgent,bug_ui,0.5986,integrations
CB-6997,chat,Free,North America,quick one: the api returns a different shape than the docs describe,low,integrations,0.7215,integrations
CB-6332,email,Team,North America,"hi, pasting into the search field adds a trailing space that breaks it",low,how_to,0.7729,bug_ui
CB-6132,in-app,Team,North America,Our billing contact cannot access the billing settings page. Reproduced on two machines.,normal,billing_plan,0.2707,billing_plan
CB-6131,in-app,Enterprise,EMEA,Second time asking about this. The refund was approved three weeks ago and has not arrived.,normal,billing_plan,0.8842,billing_plan
CB-6828,in-app,Team,EMEA,"Hello, Is there a way to undo a bulk delete? No rush on this one.",normal,how_to,0.9059,how_to
CB-6593,email,Enterprise,APAC,Raising this again: Please allow more than ten widgets on one dashboard. I have cleared cache and tried incognito.,normal,how_to,0.4907,feature_request
CB-7090,chat,Free,LATAM,Reporting on behalf of my team: Our identity provider says the assertion audience does not match. This is urgent. Any help appreciated.,high,bug_ui,0.5506,login_access
CB-6509,phone,Free,EMEA,Not sure if this is the right place but Our date fields are being read as American format when they are European. This started yesterday.,urgent,bug_ui,0.9537,data_sync
CB-6277,chat,Free,EMEA,Quick one: The sidebar collapses every time I navigate.,high,bug_ui,0.5094,bug_ui
CB-6741,phone,Business,North America,"Morning, How do I move a dashboard to a different owner? This is blocking our weekly reporting.",high,how_to,0.9465,how_to
CB-6592,email,Enterprise,APAC,Reporting on behalf of my team: Please add dark mode. Please treat as high priority.,high,feature_request,0.8544,feature_request
CB-6725,in-app,Team,LATAM,How do I export just the filtered rows and not everything? Please advise.,high,how_to,0.9561,how_to
CB-7065,email,Free,EMEA,Not sure if this is the right place but Sessions keep dropping on Safari but not on Chrome.,normal,performance,0.8086,login_access
CB-7258,chat,Free,EMEA,"Hi team, The app slows to a crawl when a colleague is editing the same view.",normal,performance,0.9656,performance
CB-6649,email,Business,EMEA,"Hi, Please add a way to bulk reassign ownership when someone leaves. I have cleared cache and tried incognito. Screenshot attached.",high,feature_request,0.9519,feature_request
CB-6760,chat,Business,EMEA,Not sure if this is the right place but How do I find views that nobody has opened in six months? Any help appreciated.,low,performance,0.8126,how_to
CB-7272,chat,Free,LATAM,Raising this again: The initial bundle download is enormous on our connection.,normal,bug_ui,0.3405,performance
CB-7367,in-app,Team,North America,"Hi, The app pegs one CPU core continuously in the background.",high,performance,0.9546,performance
CB-6333,email,Team,APAC,"Morning, The checkbox in the header selects only the visible rows without saying so.",urgent,bug_ui,0.6227,bug_ui
CB-7043,email,Free,North America,The connector duplicates our accounts as separate records.,normal,bug_ui,0.4326,integrations
CB-6267,phone,Team,EMEA,The avatar initials show the wrong user. Please advise.,normal,how_to,0.2713,bug_ui
CB-6716,in-app,Free,APAC,Reporting on behalf of my team: Where can I find our API key? This is blocking our weekly reporting.,normal,integrations,0.5072,how_to
CB-6184,chat,Team,EMEA,Not sure if this is the right place but Keyboard focus is invisible so I cannot tab through the form. Thanks in advance.,normal,how_to,0.7784,bug_ui
CB-6524,chat,Enterprise,EMEA,"Morning, The backfill has been running for two days with no progress.",normal,performance,0.9342,data_sync
CB-7339,in-app,Enterprise,EMEA,Duplicating a large dashboard takes several minutes. Ticket reference from last time was in the thread.,high,performance,0.8056,performance
CB-7348,phone,Enterprise,EMEA,Second time asking about this. The bulk import processes about one record per second. Please treat as high priority.,normal,data_sync,0.3469,performance
CB-6364,email,Free,APAC,"Hi, Empty values are being stored as the string null. Can someone take a look?",high,bug_ui,0.2863,data_sync
CB-6871,in-app,Business,APAC,sorry to bother you but how do i archive a workspace without deleting it?,normal,how_to,0.9881,how_to
CB-6767,chat,Enterprise,LATAM,"Hello, What happens to shared links when I archive a view? I have cleared cache and tried incognito. Not blocking but annoying.",urgent,how_to,0.5306,how_to
CB-7251,chat,Enterprise,LATAM,Reporting on behalf of my team: Concurrent users cause the whole workspace to slow down. Our admin has already tried the usual steps.,low,performance,0.8435,performance
CB-7207,phone,Team,APAC,"Quick one: I replaced my phone and lost the 2FA device, now I am locked out. Our admin has already tried the usual steps.",normal,login_access,0.949,login_access
CB-7037,chat,Free,EMEA,Raising this again: Our API key stopped working with no notice. This is blocking our weekly reporting. Thanks!,low,integrations,0.8262,integrations
CB-6877,email,Business,North America,"Morning, We cannot rotate the API key without downtime. It worked fine last week. Please escalate if needed.",normal,integrations,0.702,integrations
CB-7390,email,Free,LATAM,"Hello, The mobile app takes fifteen seconds to open a saved view. Thanks in advance.",normal,performance,0.9588,performance
CB-7345,email,Enterprise,North America,The mobile app is unusably slow on anything other than wifi. Ticket reference from last time was in the thread.,low,performance,0.9768,performance
CB-7108,in-app,Enterprise,North America,Raising this again: The invite went to the wrong address and cannot be revoked.,normal,bug_ui,0.3199,login_access
CB-7078,chat,Business,APAC,Hey The session cookie is rejected when we use the product in an iframe. We need this resolved before month end.,low,login_access,0.2891,login_access
CB-7131,phone,Team,EMEA,The domain capture feature grabbed accounts that are not ours. No rush on this one. Any help appreciated.,urgent,how_to,0.3603,login_access
CB-6987,in-app,Enterprise,EMEA,sorry to bother you but the teams app will not install in our tenant,normal,bug_ui,0.296,integrations
CB-7052,phone,Enterprise,North America,"I replaced my phone and lost the 2FA device, now I am locked out. Ticket reference from last time was in the thread.",low,login_access,0.945,login_access
CB-6931,in-app,Team,LATAM,"Hello, The Stripe integration reports different totals to Stripe itself. This started yesterday. Please treat as high priority.",high,bug_ui,0.5166,integrations
CB-6545,email,Enterprise,LATAM,Raising this again: We would like usage analytics per dashboard. Thanks in advance.,high,feature_request,0.5075,feature_request
CB-6007,phone,Free,EMEA,Hey The subscription shows as past due but the payment cleared.,normal,billing_plan,0.9269,billing_plan
CB-6028,in-app,Business,North America,Following up: The discount code from the conference does not work. Only happens for our EMEA users.,normal,bug_ui,0.4127,billing_plan
CB-6891,in-app,Free,EMEA,sorry to bother you but the connector needs a static ip and we cannot get one,urgent,integrations,0.5873,integrations
CB-6043,phone,Enterprise,APAC,Hey The cancellation still charged us for the following month. Ticket reference from last time was in the thread.,high,billing_plan,0.9586,billing_plan
CB-6768,chat,Business,North America,Raising this again: Can I tag records and filter by tag later?,urgent,how_to,0.5565,how_to
CB-7129,phone,Business,North America,Second time asking about this. We want to enforce SSO only and disable password sign-in.,urgent,login_access,0.8649,login_access
CB-7232,email,Enterprise,EMEA,"Hi, Server response times spike every hour on the hour. Ticket reference from last time was in the thread.",normal,performance,0.9158,performance
CB-6940,email,Enterprise,LATAM,The integration was disabled automatically and nobody was told. Please advise.,low,integrations,0.5189,integrations
CB-6627,phone,Team,APAC,"Hello, We need version history on dashboards.",low,bug_ui,0.5868,feature_request
CB-6040,chat,Enterprise,LATAM,The payment page rejects our corporate card as invalid. This is blocking our weekly reporting. Happy to jump on a call if easier.,normal,billing_plan,0.8922,billing_plan
CB-6414,in-app,Business,APAC,Quick one: Our timezone setting is ignored on scheduled syncs. Please advise.,urgent,bug_ui,0.5908,data_sync
CB-7050,in-app,Enterprise,LATAM,"morning, the integration logs are not retained long enough to debug",urgent,integrations,0.7286,integrations
CB-6785,email,Team,EMEA,"Hi team, Is there a way to undo a bulk delete?",normal,how_to,0.8871,how_to
CB-6802,in-app,Team,LATAM,Hey How do I merge two duplicate records?,urgent,how_to,0.9805,how_to
CB-6710,phone,Free,APAC,Is there a way to bulk edit records?,high,feature_request,0.6107,how_to
CB-6549,chat,Free,APAC,Sorry to bother you but Can you add a diff view between two time periods? This started yesterday. Please treat as high priority.,normal,feature_request,0.7679,feature_request
CB-6589,chat,Enterprise,APAC,We need the ability to set a retention policy per workspace.,normal,feature_request,0.9101,feature_request
CB-6446,chat,Enterprise,APAC,Following up: Duplicate records appear after every sync run. Thanks in advance.,normal,bug_ui,0.8122,data_sync
CB-6134,chat,Free,LATAM,"Hi, The auto-renew date moved forward by a month unexpectedly. Ticket reference from last time was in the thread.",normal,bug_ui,0.3435,billing_plan
CB-6348,in-app,Free,APAC,raising this again: the print layout cuts the table in half,high,bug_ui,0.9602,bug_ui
CB-7062,phone,Team,North America,Reporting on behalf of my team: The invite went to the wrong address and cannot be revoked. This is urgent.,urgent,bug_ui,0.4339,login_access
CB-7290,chat,Team,North America,Raising this again: The first load of the day is always far slower than the rest. Happens roughly half the time.,high,performance,0.6732,performance
CB-7170,phone,Free,North America,"Morning, Our whole team lost SSO access after the weekend maintenance.",urgent,login_access,0.7375,login_access
CB-6518,chat,Team,LATAM,Raising this again: The sync ran twice last night and doubled everything. Thanks in advance.,low,bug_ui,0.3639,data_sync
CB-7248,email,Free,EMEA,Performance degrades steadily until we reload the page.,high,performance,0.7621,performance
CB-7138,phone,Business,APAC,Sorry to bother you but Two people share a login and we need to split it into separate accounts. Any help appreciated.,high,login_access,0.7823,login_access
CB-6911,email,Enterprise,LATAM,Quick one: Our Slack notifications stopped arriving. This started yesterday.,high,integrations,0.4989,integrations
CB-6263,chat,Free,APAC,the sort arrow points the opposite way to the actual sort,low,bug_ui,0.9044,bug_ui
CB-7120,chat,Enterprise,APAC,Raising this again: Our contractor accounts expired early and they need access back.,urgent,login_access,0.8968,login_access
CB-6968,in-app,Business,North America,hey the zapier trigger fires twice for one event,urgent,bug_ui,0.3317,integrations
CB-6673,chat,Team,EMEA,"Hello, Can you support single sign-on for our smaller subsidiary too? Thanks!",normal,login_access,0.7066,feature_request
CB-7188,phone,Business,EMEA,"Hi team, The sign-in page shows a blank screen on our locked-down browsers. Please escalate if needed.",urgent,login_access,0.9872,login_access
CB-7392,phone,Enterprise,LATAM,raising this again: typing in a long text field lags behind by half a second,urgent,performance,0.9249,performance
CB-7042,chat,Enterprise,LATAM,Raising this again: The connector authenticated but syncs no objects.,urgent,integrations,0.7474,integrations
CB-6394,email,Free,EMEA,"Hi, The sync reports success but the record count is zero. We need this resolved before month end.",high,bug_ui,0.6022,data_sync
CB-7071,chat,Team,EMEA,Quick one: Our IP allowlist is blocking our own office after the ISP changed our range.,low,bug_ui,0.9269,login_access
CB-6138,email,Free,North America,The discount code from the conference does not work.,high,bug_ui,0.4042,billing_plan
CB-6113,in-app,Enterprise,LATAM,"Morning, We need to move billing to a different legal entity. Not blocking but annoying.",urgent,billing_plan,0.8828,billing_plan
CB-6427,email,Enterprise,APAC,Reporting on behalf of my team: The sync skipped an entire month of records. Please treat as high priority. Happy to jump on a call if easier.,normal,bug_ui,0.7643,data_sync
CB-6936,chat,Free,North America,Following up: OAuth consent fails when our admin tries to approve it.,normal,integrations,0.8593,integrations
CB-6958,email,Business,EMEA,our slack notifications stopped arriving,low,performance,0.6694,integrations
CB-6013,phone,Enterprise,North America,Sorry to bother you but I need invoices for the last twelve months in one download. Nothing changed on our side. Thanks in advance.,normal,billing_plan,0.9626,billing_plan
CB-6827,in-app,Team,LATAM,Not sure if this is the right place but How do I set up a read-only account for our auditor?,normal,how_to,0.8855,how_to
CB-6626,email,Team,EMEA,Sorry to bother you but Please add support for importing from a spreadsheet template. It worked fine last week.,normal,feature_request,0.6906,feature_request
CB-6039,chat,Business,EMEA,Sorry to bother you but Our card was declined and I cannot find where to update it. Our admin has already tried the usual steps.,low,billing_plan,0.8653,billing_plan
CB-7283,chat,Free,APAC,Scrolling a long table stutters badly. Screenshot attached.,normal,bug_ui,0.658,performance
CB-6339,chat,Team,APAC,Raising this again: The notification badge never clears.,normal,performance,0.8066,bug_ui
CB-6325,in-app,Team,LATAM,The error message is a raw stack trace.,high,bug_ui,0.5756,bug_ui
CB-6758,chat,Free,EMEA,Reporting on behalf of my team: What is the recommended way to onboard fifty new users at once?,normal,how_to,0.8908,how_to
CB-6660,in-app,Business,LATAM,Following up: Please add a bulk export of every view definition.,normal,feature_request,0.7262,feature_request
CB-6992,email,Business,LATAM,hey the integration logs are not retained long enough to debug,high,integrations,0.7323,integrations
CB-6029,phone,Enterprise,APAC,"hi, the refund was approved three weeks ago and has not arrived",normal,billing_plan,0.885,billing_plan
CB-7265,phone,Free,North America,"Morning, The app is fast on our office network and slow on VPN.",normal,performance,0.7983,performance
CB-6478,chat,Team,EMEA,"Not sure if this is the right place but The sync only picks up records changed in the last hour, not the last day. It affects about a dozen people. Ticket reference from last time was in the thread.",normal,bug_ui,0.7583,data_sync
CB-6708,in-app,Enterprise,LATAM,"Hi team, Where do I manage notification preferences for the whole org? Nothing changed on our side. This is urgent. Please advise.",low,how_to,0.9473,how_to
CB-6878,chat,Team,LATAM,Not sure if this is the right place but The API deprecation notice gave us two weeks.,normal,integrations,0.3373,integrations
CB-6420,email,Team,North America,empty values are being stored as the string null,urgent,bug_ui,0.4109,data_sync
CB-6927,phone,Enterprise,LATAM,Quick one: The callback URL cannot be changed once it is set. Our admin has already tried the usual steps.,urgent,integrations,0.5861,integrations
CB-6385,in-app,Enterprise,LATAM,Quick one: Our totals here are consistently three percent below source. This started yesterday.,low,bug_ui,0.9328,data_sync
CB-6582,email,Enterprise,APAC,we would like to see a changelog inside the product,normal,integrations,0.4459,feature_request
CB-7174,in-app,Enterprise,LATAM,"Hi, The invite went to the wrong address and cannot be revoked.",high,login_access,0.2722,login_access
CB-7327,in-app,Business,EMEA,Our largest account cannot open its own dashboard at all. This started yesterday. We need this resolved before month end.,high,performance,0.4729,performance
CB-7085,email,Business,LATAM,Not sure if this is the right place but Our contractor accounts expired early and they need access back. We are on the Team plan. Any help appreciated.,urgent,login_access,0.8732,login_access
CB-6213,chat,Enterprise,APAC,"Hi team, The calendar starts the week on the wrong day for our region. It worked fine last week. Not blocking but annoying. Ticket reference from last time was in the thread.",urgent,bug_ui,0.6973,bug_ui
CB-7382,chat,Team,APAC,"Morning, Duplicating a large dashboard takes several minutes.",normal,performance,0.7583,performance
CB-7006,phone,Free,LATAM,Quick one: The Google Sheets export stops at five thousand rows. Thanks in advance.,normal,bug_ui,0.5024,integrations
CB-6971,in-app,Enterprise,North America,Hey The connector reset all of our field mappings after an upgrade. Our admin has already tried the usual steps.,low,bug_ui,0.3602,integrations
CB-7243,in-app,Business,EMEA,The API takes four seconds for a request that used to take one. We need this resolved before month end.,urgent,performance,0.4991,performance
CB-6815,in-app,Team,APAC,Sorry to bother you but How do I change the aggregation from sum to average? This is blocking our weekly reporting. No rush on this one. Any help appreciated.,low,how_to,0.7601,how_to
CB-6909,chat,Enterprise,LATAM,not sure if this is the right place but the zendesk sync only works one way,normal,bug_ui,0.4713,integrations
CB-6250,chat,Business,EMEA,second time asking about this the table sorts numbers as if they were text,high,bug_ui,0.9388,bug_ui
CB-6063,chat,Free,North America,sorry to bother you but i need a w-9 and an itemised invoice for accounting,low,billing_plan,0.8797,billing_plan
CB-6450,phone,Team,EMEA,Hey Our date fields are being read as American format when they are European. Screenshot attached.,normal,bug_ui,0.9707,data_sync
CB-7057,chat,Team,LATAM,The admin console will not let me reset another user's password.,normal,login_access,0.9279,login_access
CB-6273,email,Free,LATAM,Raising this again: The filter chip says active when nothing is filtered. It affects about a dozen people.,high,bug_ui,0.6554,bug_ui
CB-6479,phone,Free,EMEA,Sorry to bother you but The sync ran twice last night and doubled everything. This is blocking our weekly reporting. Fairly low priority. Please advise.,normal,performance,0.7199,data_sync
CB-6104,phone,Team,North America,The plan comparison page and the checkout page show different prices. We are on the Team plan. Can someone take a look?,low,bug_ui,0.4968,billing_plan
CB-6843,chat,Business,APAC,What is the correct order to set up a new team? Please advise.,low,how_to,0.9882,how_to
CB-6018,chat,Team,EMEA,"Hi team, The credit from last month's outage was never applied.",high,billing_plan,0.8713,billing_plan
CB-7221,in-app,Free,APAC,not sure if this is the right place but the email on my account is wrong and i cannot receive the verification code,normal,login_access,0.7966,login_access
CB-6278,email,Business,North America,The mobile layout overlaps two buttons so I hit the wrong one.,low,bug_ui,0.4608,bug_ui
CB-7087,in-app,Free,EMEA,Hey We are getting rate limited on the sign-in endpoint during standup.,low,bug_ui,0.3615,login_access
CB-6691,phone,Team,EMEA,Quick one: Can you add keyboard shortcuts for the common actions? Happy to jump on a call if easier.,urgent,feature_request,0.6624,feature_request
CB-6363,phone,Team,APAC,Not sure if this is the right place but The sync ran twice last night and doubled everything.,high,bug_ui,0.5485,data_sync
CB-6521,chat,Free,LATAM,deleted records come back on the next run,normal,bug_ui,0.5021,data_sync
CB-6203,chat,Business,APAC,"Hello, The dialog cannot be dismissed with the escape key.",low,login_access,0.291,bug_ui
CB-6619,phone,Business,North America,"morning, we need a way to annotate a spike so context is not lost",urgent,feature_request,0.6605,feature_request
CB-6140,phone,Business,EMEA,The payment page rejects our corporate card as invalid. This is urgent.,normal,billing_plan,0.9794,billing_plan
CB-6126,chat,Free,EMEA,hey our card was declined and i cannot find where to update it,urgent,billing_plan,0.5381,billing_plan
CB-7307,in-app,Team,LATAM,"Hi team, Scrolling a long table stutters badly.",high,bug_ui,0.6564,performance
CB-7242,email,Team,LATAM,"hi, charts render one at a time instead of together",normal,bug_ui,0.8786,performance
CB-6095,in-app,Business,APAC,hey the seat count includes deactivated users,normal,bug_ui,0.9053,billing_plan
CB-6475,email,Team,North America,Hey A renamed field upstream broke the mapping without warning. This is urgent. Screenshot attached.,low,bug_ui,0.7996,data_sync
CB-6351,email,Team,LATAM,Not sure if this is the right place but Text fields are truncated at 255 characters. This started yesterday. Screenshot attached.,low,bug_ui,0.767,data_sync
CB-7341,phone,Enterprise,APAC,Raising this again: The app is fast on our office network and slow on VPN. Thanks in advance.,normal,performance,0.7708,performance
CB-6884,chat,Enterprise,North America,Sorry to bother you but The API error messages give no detail we can act on.,normal,integrations,0.9474,integrations
CB-7049,phone,Enterprise,North America,The API returns a different shape than the docs describe. No rush on this one. Please advise.,urgent,integrations,0.775,integrations
CB-6933,in-app,Enterprise,EMEA,"Hi team, The Google Sheets export stops at five thousand rows. This is urgent.",normal,bug_ui,0.4649,integrations
CB-6482,chat,Free,APAC,Deleted records come back on the next run.,urgent,bug_ui,0.685,data_sync
CB-6068,chat,Team,APAC,"Hi, We need a quote for adding thirty seats next quarter. Fairly low priority.",normal,feature_request,0.7314,billing_plan
CB-6882,phone,Enterprise,North America,Hey The callback URL cannot be changed once it is set.,normal,integrations,0.6552,integrations
CB-7164,chat,Team,EMEA,MFA is enforced for admins but not for regular users and we need both. Can someone take a look?,normal,bug_ui,0.2495,login_access
CB-6982,email,Free,North America,Second time asking about this. The callback URL cannot be changed once it is set.,urgent,integrations,0.6364,integrations
CB-6012,in-app,Business,North America,"Hi, The auto-renew date moved forward by a month unexpectedly. Please treat as high priority.",low,bug_ui,0.4261,billing_plan
CB-7136,in-app,Enterprise,APAC,Following up: The email on my account is wrong and I cannot receive the verification code.,normal,login_access,0.8908,login_access
CB-6533,chat,Team,APAC,"Morning, Please support custom colour palettes for accessibility.",normal,feature_request,0.6842,feature_request
CB-6996,phone,Team,LATAM,Reporting on behalf of my team: Our Slack notifications stopped arriving. Reproduced on two machines.,urgent,performance,0.6131,integrations
CB-6266,email,Business,North America,the currency symbol is hardcoded to dollars,urgent,bug_ui,0.9809,bug_ui
CB-7186,in-app,Team,APAC,Raising this again: I get a 403 immediately after authenticating successfully.,low,login_access,0.8472,login_access
CB-6010,phone,Enterprise,APAC,Second time asking about this. The free trial converted to paid before we decided.,urgent,billing_plan,0.324,billing_plan
CB-6904,email,Enterprise,North America,Second time asking about this. The Teams app will not install in our tenant.,normal,bug_ui,0.2092,integrations
CB-7202,phone,Enterprise,EMEA,"hi, the sso config was changed by accident and now nobody can get in",normal,login_access,0.4812,login_access
CB-6129,phone,Free,North America,"Hi, We are on a legacy plan and want to know what we lose by moving.",normal,billing_plan,0.4634,billing_plan
CB-6630,phone,Business,North America,"Hi, Can you support two-factor via hardware keys? This is blocking our weekly reporting.",urgent,login_access,0.6168,feature_request
CB-6445,email,Business,EMEA,Following up: The sync fails silently with no error and no notification. Fairly low priority.,high,performance,0.3152,data_sync
CB-6334,phone,Enterprise,North America,"Hi team, The icon for archive and the icon for delete are identical. Not blocking but annoying.",low,bug_ui,0.3575,bug_ui
CB-6180,phone,Free,APAC,"Hi, The save confirmation appears even when the save failed. Happy to jump on a call if easier.",normal,integrations,0.7705,bug_ui
CB-6868,phone,Business,North America,How do I change who receives the weekly summary? Only happens for our EMEA users. We need this resolved before month end.,low,how_to,0.7684,how_to
CB-6480,email,Enterprise,EMEA,The sync completes but half the fields are empty. Thanks in advance.,normal,bug_ui,0.5226,data_sync
CB-6922,email,Team,EMEA,Following up: The webhook signature verification always fails. It worked fine last week.,high,integrations,0.8881,integrations
CB-7034,chat,Team,APAC,hey the looker connection cannot see our new tables,normal,bug_ui,0.5419,integrations
CB-7245,phone,Business,LATAM,The app is much slower in Firefox than in Chrome. Any help appreciated.,urgent,performance,0.944,performance
CB-7189,chat,Team,APAC,Following up: MFA is enforced for admins but not for regular users and we need both. I have cleared cache and tried incognito.,urgent,login_access,0.3475,login_access
CB-6755,in-app,Team,North America,Reporting on behalf of my team: How do I add a calculated field? Please escalate if needed.,normal,how_to,0.6449,how_to
CB-7122,phone,Business,EMEA,Raising this again: The SSO config was changed by accident and now nobody can get in. Please advise.,normal,login_access,0.8659,login_access
CB-6502,in-app,Business,EMEA,"Hello, The incremental sync misses records that were updated in bulk.",normal,bug_ui,0.7019,data_sync
CB-6432,email,Team,EMEA,"morning, boolean fields arrive as one and zero instead of true and false",high,bug_ui,0.809,data_sync
CB-6943,chat,Business,APAC,Following up: The webhook returns a 500 and we cannot see why. Fairly low priority. Thanks!,urgent,integrations,0.7834,integrations
CB-6251,phone,Team,LATAM,The truncated numbers drop the thousands separator.,low,bug_ui,0.9572,bug_ui
CB-6723,phone,Free,EMEA,Hey How do I change the aggregation from sum to average? Happens roughly half the time. Ticket reference from last time was in the thread.,high,how_to,0.9187,how_to
CB-6256,email,Team,APAC,"Morning, The error message is a raw stack trace. I have cleared cache and tried incognito.",low,bug_ui,0.3409,bug_ui
CB-7206,phone,Business,North America,"morning, authenticator codes are being rejected even after resyncing",urgent,performance,0.444,login_access
CB-6658,phone,Free,APAC,"morning, we want to schedule reports to slack, not just email",low,integrations,0.5281,feature_request
CB-6776,in-app,Enterprise,LATAM,Reporting on behalf of my team: Can I hide a metric from a shared view without deleting it? Screenshot attached.,low,how_to,0.7013,how_to
CB-6951,email,Enterprise,North America,"Morning, The connector authenticated but syncs no objects. Not blocking but annoying.",normal,integrations,0.8515,integrations
CB-6756,email,Business,North America,Where do I change the default timezone for everyone? Can someone take a look?,urgent,how_to,0.9822,how_to
CB-6311,email,Free,APAC,Not sure if this is the right place but The dialog cannot be dismissed with the escape key.,normal,bug_ui,0.3092,bug_ui
