ticket_id,created_at,channel,plan,region,ticket_text,priority,category
CB-4331,2026-06-23,email,Enterprise,North America,A public API for creating dashboards would let us automate customer onboarding.,low,feature_request
CB-4332,2026-06-19,email,Business,APAC,the undo button undoes more than one action at a time,normal,bug_ui
CB-4333,2026-07-04,in-app,Team,North America,how do i set up an alert for when a metric drops below a threshold,low,how_to
CB-4334,2026-06-16,email,Business,North America,Can I export the audit log for a compliance review?,low,how_to
CB-4335,2026-06-28,chat,Business,LATAM,Please add the ability to comment on a specific data point rather than the whole dashboard.,low,feature_request
CB-4336,2026-07-08,email,Business,EMEA,Our SAML metadata certificate expired and now nobody on the eng team can authenticate. Need this fixed today.,urgent,login_access
CB-4337,2026-08-25,chat,Business,North America,Long team names overflow their container and break the sidebar layout.,normal,bug_ui
CB-4338,2026-08-02,email,Team,EMEA,The timezone selector resets itself to UTC every time I reload the page.,normal,bug_ui
CB-4339,2026-08-20,email,Enterprise,North America,A query that ran in 2 seconds last week now takes 90. Nothing changed on our side.,normal,performance
CB-4340,2026-06-23,chat,Business,LATAM,How exactly are seats counted - is a deactivated user still billed until renewal?,normal,billing_plan
CB-4341,2026-08-22,email,Team,North America,How do I give someone view-only access without consuming a full seat?,low,how_to
CB-4342,2026-07-18,email,Team,APAC,It would help enormously to see who viewed a dashboard and when.,low,feature_request
CB-4343,2026-08-07,email,Business,EMEA,HubSpot custom properties don't appear in the field mapping dropdown at all.,high,integrations
CB-4344,2026-06-06,chat,Enterprise,North America,Getting 504 gateway timeouts on the reports page during business hours.,high,performance
CB-4345,2026-07-25,email,Business,EMEA,Duplicate rows appear after every refresh - same primary key repeated twice.,normal,data_sync
CB-4346,2026-08-16,email,Team,North America,We need SCIM provisioning so accounts get created automatically from Okta.,normal,integrations
CB-4347,2026-06-02,email,Business,APAC,We need to rotate our API key without downtime. What's the recommended process?,high,integrations
CB-4348,2026-08-14,email,Free,LATAM,We want to move from Business down to Team at renewal. What functionality do we lose?,high,billing_plan
CB-4349,2026-08-21,in-app,Team,LATAM,Your browser extension conflicts with our security plugin and crashes the tab.,urgent,integrations
CB-4350,2026-06-26,chat,Team,EMEA,Trying to add a new teammate but the invite link says expired the moment they click it.,normal,login_access
CB-4351,2026-08-06,email,Business,North America,Is there a sandbox environment where we can test before pointing production at it?,normal,integrations
CB-4352,2026-07-17,email,Enterprise,North America,Why did our price go up 30% without notice? Nobody told us about a change.,normal,billing_plan
CB-4353,2026-06-19,in-app,Business,APAC,The date picker won't let me select anything before 2024 even though we have older data.,normal,bug_ui
CB-4354,2026-06-05,email,Enterprise,North America,Are we on a legacy plan? Trying to work out why our feature set differs from the pricing page.,normal,billing_plan
CB-4355,2026-07-28,in-app,Team,North America,MFA codes from the authenticator app are being rejected. I've resynced the app twice already.,normal,login_access
CB-4356,2026-08-14,in-app,Business,EMEA,requesting bulk delete - cleaning up 300 stale charts one at a time is painful,low,feature_request
CB-4357,2026-07-18,email,Business,North America,Please add Snowflake key-pair authentication. Static passwords are against our policy.,low,feature_request
CB-4358,2026-07-28,chat,Business,North America,Refresh failures aren't being emailed to anyone - we only found out by accident.,normal,data_sync
CB-4359,2026-06-15,email,Team,EMEA,What roles exist and what can each one do? I can't find a permissions matrix anywhere.,low,how_to
CB-4360,2026-06-23,in-app,Team,EMEA,We're a nonprofit - do you offer discounted pricing for 501(c)(3) organizations?,normal,billing_plan
